episode,controller,reward,energy_wh,dist_m,wh_per_km,comfort_score,success,trip_type,traffic,payload
0,RL_Adaptive,-0.030997733684723083,0.0,0.0,0.0,0.994276123110197,False,1,0,30
0,Eco,-623.609501709115,105.92404220164495,8016.076155157967,13.213951583217911,0.0,True,1,0,30
0,Commute,-1037.0247995950976,170.1596377935389,8015.0461445675,21.230025969204313,0.0,True,1,0,30
0,Sport,-1506.2198668689412,250.64177928784127,8017.277563539859,31.262704490572194,0.0,True,1,0,30
0,RuleBased,-1249.37440377249,193.01066694199204,8017.393582017788,24.073991749001284,0.0,True,1,0,30
1,RL_Adaptive,-0.013862016767199534,0.0,0.0,0.0,0.9974362518879446,False,1,2,30
1,Eco,-1081.0668715814504,52.643236636897235,3038.6335767520627,17.324641259696268,0.0,True,1,2,30
1,Commute,-1509.7027617482938,79.9596538349173,3037.872240514035,26.32094028463403,0.0,True,1,2,30
1,Sport,-1545.379835888784,111.87151000186326,3037.6081411782725,36.82881556884058,0.0,True,1,2,30
1,RuleBased,-1444.7366388256216,76.95158178205975,3038.948601870558,25.321777977651184,0.0,True,1,2,30
2,RL_Adaptive,-446.4219345334405,33.44419446063928,2010.0338384741444,16.638622604496756,0.03139165890762361,False,0,2,60
2,Eco,-1403.6458519161727,111.08137712172604,6059.082396445196,18.333036234479398,0.0,False,0,2,60
2,Commute,-2648.6458273347675,190.8949228022809,6311.3935555605,30.246081332402024,0.0,False,0,2,60
2,Sport,-3187.789380922411,360.6897990251645,7487.04924981379,48.175160465805035,0.0,False,0,2,60
2,RuleBased,-1870.4759032146249,155.60509654342832,6110.452962592957,25.465394709036048,0.0,False,0,2,60
3,RL_Adaptive,-0.06215030742310216,0.0,0.0,0.0,0.9885566626238496,False,0,1,60
3,Eco,-1137.7898891750162,34.890432834962304,2337.293187112455,14.927709124102968,0.0,True,0,1,60
3,Commute,-1677.9906101290067,70.33501820722879,2338.3830993354236,30.078483815256032,0.0,True,0,1,60
3,Sport,-1207.7423971751643,94.69252994812409,2337.150695863048,40.51622777929458,0.0,True,0,1,60
3,RuleBased,-1309.1625046243703,71.23901838126834,2337.781580678854,30.4729145656891,0.0,True,0,1,60
4,RL_Adaptive,-0.12901700996965973,0.0,0.0,0.0,0.976391116343186,False,0,2,60
4,Eco,-574.0069346365877,68.52175563961045,2859.5091686178143,23.962768293109352,0.0,True,0,2,60
4,Commute,-915.1950643191306,96.70324667032148,2860.335508629038,33.80835792814789,0.0,True,0,2,60
4,Sport,-1510.9173092102776,169.55804191605094,2859.746248148011,59.29128922744728,0.0,True,0,2,60
4,RuleBased,-717.0174730282371,82.1399458242417,2861.3497138199195,28.706713278533286,0.0,True,0,2,60
